index,epoch,train_loss,valid_loss,mask_train_loss,mask_test_loss,z_train_loss,z_test_loss,learning_rate
0,0,0.8228043922682202,0.8124038067064248,0.89556634,0.9450307,0.000119032426,0.000108333006,4.973088337695294e-05
1,1,0.5578528625335508,0.8116337606962285,0.68761045,0.94493324,3.502281e-05,8.00667e-05,7.94599535508995e-05
2,2,0.6860529102792604,0.8115891122673929,0.8272418,0.9449295,2.8229768e-05,6.823332e-05,7.108867248745986e-05
3,3,0.625108246264429,0.8116411167344874,0.72200024,0.94493574,1.51814165e-05,7.794289e-05,5.2793581513534944e-05
4,4,0.676953188563504,0.811894123290646,0.71681345,0.9449482,2.6013146e-05,0.00010296233,3.6723899347631056e-05
5,5,0.6927284476878279,0.8116637075107671,0.4412675,0.9449327,1.4072548e-05,8.0161284e-05,2.3697553969209067e-05
6,6,0.6552385791194436,0.8116432038605732,0.68140644,0.94493103,1.2671173e-05,6.49848e-05,1.3937078949106103e-05
7,7,0.7151603515767853,0.8115763188385547,0.6931519,0.9449292,1.0383285e-05,6.226072e-05,7.231893133700488e-06
8,8,0.605519051167893,0.8115749145494646,0.34709764,0.9449294,1.3088585e-05,6.163103e-05,3.104930116658229e-06
9,9,0.6472826088339612,0.8120852602519638,0.5621145,0.9449627,1.09228395e-05,0.00010522792,9.587675824266231e-07
10,10,0.6242238363575736,0.8115758296015277,0.46859324,0.94492966,8.675342e-06,6.116536e-05,1.8827212370454414e-07
11,11,0.5389163860225035,0.8116401672421489,0.7123742,0.9449327,8.043348e-06,6.720031e-05,2.272866517718555e-06
12,12,0.6749416692104265,0.8115828774164281,0.37314367,0.9449295,7.1049485e-06,6.292878e-05,4.506182102003823e-06
13,13,0.746436938065923,0.8116547005483881,0.8300012,0.94493866,1.7267359e-05,7.57832e-05,4.943973582262816e-06
14,14,0.557232712029859,0.8116722488700664,0.44469613,0.94494164,9.382734e-06,8.731762e-05,3.7617017397590177e-06
15,15,0.46103970080819456,0.8116136470843534,0.48638195,0.94493234,8.2803745e-06,6.970412e-05,2.697570455827277e-06
16,16,0.5830830254796501,0.8115804651331473,0.49022695,0.9449295,6.014839e-06,6.075857e-05,1.8176281698082973e-06
17,17,0.6014281309186457,0.8116216923153843,0.76497316,0.9449315,6.7142287e-06,6.571457e-05,1.1463405217339293e-06
18,18,0.67518397533009,0.8116010748616342,0.5552062,0.94493,8.8503675e-06,6.3027765e-05,6.764828826353556e-07
19,19,0.6057141015834209,0.8116026588315435,0.25267345,0.9449316,1.0178614e-05,7.569326e-05,3.801328539578927e-07
20,20,0.6282581906974144,0.8115900905370533,0.40287414,0.9449308,4.633992e-06,6.267015e-05,2.1884922774889042e-07
21,21,0.4844182760823323,0.811636885983656,0.2484008,0.94493586,3.732798e-06,7.1112554e-05,1.5192036177085182e-07
22,22,0.5854843059638909,0.8116014309215946,0.28790537,0.944931,3.9282118e-06,7.141538e-05,1.8807730096071448e-07
23,23,0.6970396635474355,0.811597161719692,0.6089736,0.94493085,8.198025e-06,6.6409666e-05,3.0080246542761155e-07
24,24,0.598576232802304,0.8116821193378807,0.5652143,0.9449428,5.31949e-06,8.492509e-05,3.410537153769143e-07
25,25,0.6033455214682439,0.811638474954816,0.57353455,0.94493467,7.917223e-06,7.446976e-05,2.689474151624971e-07
26,26,0.585338838058039,0.8116541540281711,0.3379763,0.9449386,5.0443014e-06,7.571251e-05,2.0941413886468638e-07
27,27,0.7152828860905237,0.8116365170950303,0.61836493,0.944935,6.3985754e-06,7.591827e-05,1.6638048283537848e-07
28,28,0.5215158293204485,0.8116341169215351,0.2978861,0.94493324,3.2431162e-06,7.1423136e-05,1.4024855177071585e-07
29,29,0.8156177954813544,0.8115860120940852,0.85914856,0.94492966,6.6648713e-06,6.1011568e-05,1.2869826321955693e-07
30,30,0.6908822316250142,0.8116284618348194,0.75030404,0.94493484,5.873191e-06,6.981494e-05,1.276724557820628e-07
31,31,0.5382072824729317,0.8115692074237889,0.5303031,0.9449292,7.9813e-06,5.942495e-05,1.3236882675782443e-07
32,32,0.7438579397326183,0.8115894898095576,0.8506537,0.94493026,2.838434e-05,6.253942e-05,1.3811283947840602e-07
33,33,0.5574164726162013,0.8115724156371925,0.31857902,0.9449292,5.929773e-06,6.0502738e-05,1.410330028748185e-07
34,34,0.6513397547332616,0.8115717565928814,0.42502046,0.9449292,3.965721e-06,6.0861166e-05,9.635242278947357e-08
35,35,0.7453708249175699,0.811585795367076,0.8093607,0.9449307,5.694223e-06,6.3737054e-05,4.2256149297955925e-08
36,36,0.6755864308202968,0.8115857532680214,0.78356373,0.94493026,4.2948723e-06,6.412185e-05,2.0222399193362083e-08
37,37,0.7367966468956173,0.811602065690992,0.82954735,0.94493186,1.647991e-05,6.4776126e-05,2.4811463555254484e-08
38,38,0.6424679926670255,0.8115941037167431,0.41282436,0.94493175,9.226804e-06,6.6267916e-05,3.697823958236131e-08
39,39,0.6247324470789467,0.8115850154072783,0.18886375,0.94493043,2.871572e-06,6.306707e-05,5.501698216737827e-08
40,40,0.621805885341878,0.8116070542724628,0.58431655,0.9449327,3.0211027e-06,6.584192e-05,7.646290988807612e-08
41,41,0.6017813407247908,0.8116369190732561,0.6929794,0.9449408,6.5198874e-06,7.317213e-05,9.843252041861975e-08
42,42,0.6715263996676375,0.8115767920185741,0.900803,0.9449296,1.2534897e-05,6.0790935e-05,1.1800177073977813e-07
43,43,0.6365252506969464,0.8115701584662626,0.41670954,0.94492936,5.300096e-06,5.9785354e-05,1.3257582266612315e-07
44,44,0.5978743632586141,0.8115711885314947,0.68710566,0.9449293,5.3779327e-06,5.990046e-05,1.4020755492170788e-07
45,45,0.5781372026872554,0.8115750434380212,0.39639616,0.9449295,3.8700405e-06,6.0073853e-05,1.076861222459116e-07
46,46,0.644630964715018,0.8115919243999088,0.5267754,0.944933,6.570597e-06,6.841086e-05,4.623327822319463e-08
47,47,0.6540750167006004,0.8116263198770564,0.3566551,0.9449346,5.4236175e-06,6.8385576e-05,1.5986122754406176e-09
48,48,0.5850894155711193,0.8115697996089694,0.65658337,0.9449292,3.9199786e-06,5.9567843e-05,7.694102761303964e-09
49,49,0.6424314570159058,0.8115670732953391,0.5125968,0.94492906,6.534352e-06,5.8859532e-05,2.136110259141164e-08
50,50,0.5698556993267976,0.8116225614699942,0.35398728,0.9449405,5.0100302e-06,7.078553e-05,4.096907362214401e-08
51,51,0.6292426887732837,0.8115730230808822,0.5232309,0.94492966,3.5764033e-06,6.0671176e-05,6.417967075269435e-08
52,52,0.5107420013325178,0.8116365697496803,0.5546373,0.9449359,4.0700556e-06,6.8897956e-05,8.822652223831878e-08
